station,deployment,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,max_tension,wire_out,bottom_depth,cast_depth,volt0,volt1,volt2,volt3,volt4,volt5,sn,ctd_volt_in,ctd_volt_out,afm_volt_in,afm_volt_out,bottle,depth,depth_std,temp1,temp_std,sal1,sal_std
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,7, 50.4,0.21513019313894577,17.33888888888889,0.007240933027663724,34.96487194023563,0.010705464128205708
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,6, 74.5,0.5299657483691228,13.39628888888889,0.03052787433004629,34.7893974431873,0.0322677361745849
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,5, 99.4,0.09193355088202103,12.622911111111112,7.457285773733115e-4,34.97815708086173,0.0013307413910628538
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,4, 99.2,0.2953733983358099,12.610266666666666,0.01877205369691862,34.99944287737005,0.015715494435423246
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,3,197.6,0.8690650148291561,10.213455555555555,0.004322068691931689,34.704957479080875,0.0027338146410973304
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,2,297.2,0.4753363136886508,9.217255555555555,0.008183231499706041,34.61959736241424,0.001623975109366206
S285-009,CTD,2019-04-05,10:11:00,,-13,2019-04-05T10:11+13,-177.5557,-44.1113,17.68,34.954, 9.59,595,400,463,391,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,11.2,11.21,1,370.4,0.4803175454264061,8.23868888888889,0.010512188692708507,34.499514947380156,0.007896788809767756
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,12,  2.2,0.3060494241131651,17.05337777777778,7.102425250889225e-4,35.16598579164356,2.3041803891698083e-4
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,11,  2.6,0.1854764135948288,17.054944444444445,3.2446537223144024e-4,35.16638570681288,2.28534357252214e-4
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,10, 10.2,0.14688856320353863,17.05942222222222,6.437735971936773e-4,35.167751942628634,8.349745327253435e-4
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,9, 24.8,0.5457909398295276,17.063855555555556,4.558264777048491e-4,35.16769982245748,2.0451606937426725e-4
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,8, 47.8,0.3801568755132545,16.139522222222222,0.03886060916203459,35.13071827005661,0.0062709653106627645
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,7, 49.3,0.5346429753687136,15.967366666666667,0.05929597372503441,35.142750683770515,0.008458451614627419
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,6, 72.8,0.9507781023982395,14.485933333333334,0.13138521606329992,35.15538558499146,0.04581565148744132
